route_id,service_id,trip_id,trip_headsign,shape_id
1272,平日,平日_08時23分_系統1272,岡山駅前経由表町BC (新道河本 経由),1272
1084,平日,平日_08時25分_系統1084,長岡・駅前,1084
1621,平日,平日_08時25分_系統1621,ネオ西9 (中・下市 経由),1621
1182,平日,平日_08時34分_系統1182,表町BC (新道河本 経由),1182
5141,平日,平日_08時35分_系統5141,東岡山 (岡山駅 経由),5141
3107,平日,平日_08時40分_系統3107,長岡・駅前,3107
3102,平日,平日_08時40分_系統3102,表町BC経由 岡山駅,3102
5142,平日,平日_08時43分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1632,平日,平日_08時47分_系統1632,岡山駅前経由表町BC (下市・西 経由),1632
3108,平日,平日_08時50分_系統3108,表町BC経由 岡山駅,3108
1112,平日,平日_08時50分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
1111,平日,平日_08時55分_系統1111,四御神 (県庁前 経由),1111
1371,平日,平日_08時55分_系統1371,山陽団地 (西→中 経由),1371
1282,平日,平日_09時00分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
2011,平日,平日_09時05分_系統2011,ネオ東6 (新道河本 経由),2011
5142,平日,平日_09時05分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1112,平日,平日_09時08分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
5141,平日,平日_09時10分_系統5141,東岡山 (岡山駅 経由),5141
3101,平日,平日_09時10分_系統3101,片上,3101
1084,平日,平日_09時12分_系統1084,長岡・駅前,1084
1111,平日,平日_09時15分_系統1111,四御神 (県庁前 経由),1111
1621,平日,平日_09時15分_系統1621,ネオ西9 (中・下市 経由),1621
8001,平日,平日_09時15分_系統8001,岡山後楽園 (県立美術館 経由),8001
1061,平日,平日_09時20分_系統1061,瀬戸駅,1061
5142,平日,平日_09時29分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
3107,平日,平日_09時30分_系統3107,長岡・駅前,3107
3108,平日,平日_09時35分_系統3108,表町BC経由 岡山駅,3108
5141,平日,平日_09時40分_系統5141,東岡山 (岡山駅 経由),5141
1282,平日,平日_09時41分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
1062,平日,平日_09時42分_系統1062,表町BC経由 岡山駅,1062
1611,平日,平日_09時45分_系統1611,ネオ西9 (新道河本 経由),1611
1112,平日,平日_09時45分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
8001,平日,平日_09時45分_系統8001,岡山後楽園 (県立美術館 経由),8001
1111,平日,平日_09時45分_系統1111,四御神 (県庁前 経由),1111
3108,平日,平日_09時48分_系統3108,表町BC経由 岡山駅,3108
1061,平日,平日_09時50分_系統1061,瀬戸駅,1061
5141,平日,平日_10時00分_系統5141,東岡山 (岡山駅 経由),5141
1632,平日,平日_10時00分_系統1632,岡山駅前経由表町BC (下市・西 経由),1632
5142,平日,平日_10時00分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
2021,平日,平日_10時05分_系統2021,ネオ東6 (中・下市 経由),2021
1112,平日,平日_10時10分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
8001,平日,平日_10時15分_系統8001,岡山後楽園 (県立美術館 経由),8001
1111,平日,平日_10時15分_系統1111,四御神 (県庁前 経由),1111
5141,平日,平日_10時15分_系統5141,東岡山 (岡山駅 経由),5141
1371,平日,平日_10時23分_系統1371,山陽団地 (西→中 経由),1371
1282,平日,平日_10時25分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
1062,平日,平日_10時25分_系統1062,表町BC経由 岡山駅,1062
5142,平日,平日_10時30分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1112,平日,平日_10時30分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
3108,平日,平日_10時31分_系統3108,表町BC経由 岡山駅,3108
3102,平日,平日_10時35分_系統3102,表町BC経由 岡山駅,3102
5141,平日,平日_10時35分_系統5141,東岡山 (岡山駅 経由),5141
2001,平日,平日_10時40分_系統2001,瀬戸駅 (ネオ東6 経由),2001
1611,平日,平日_10時40分_系統1611,ネオ西9 (新道河本 経由),1611
1612,平日,平日_10時45分_系統1612,岡山駅前経由表町BC (新道河本 経由),1612
8001,平日,平日_10時45分_系統8001,岡山後楽園 (県立美術館 経由),8001
1111,平日,平日_10時45分_系統1111,四御神 (県庁前 経由),1111
1081,平日,平日_10時50分_系統1081,長岡団地,1081
5142,平日,平日_10時54分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
2021,平日,平日_10時55分_系統2021,ネオ東6 (中・下市 経由),2021
5141,平日,平日_11時00分_系統5141,東岡山 (岡山駅 経由),5141
3107,平日,平日_11時08分_系統3107,長岡・駅前,3107
1612,平日,平日_11時08分_系統1612,岡山駅前経由表町BC (新道河本 経由),1612
1112,平日,平日_11時10分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
1111,平日,平日_11時10分_系統1111,四御神 (県庁前 経由),1111
5142,平日,平日_11時15分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
8001,平日,平日_11時15分_系統8001,岡山後楽園 (県立美術館 経由),8001
1611,平日,平日_11時20分_系統1611,ネオ西9 (新道河本 経由),1611
5141,平日,平日_11時25分_系統5141,東岡山 (岡山駅 経由),5141
1061,平日,平日_11時25分_系統1061,瀬戸駅,1061
1062,平日,平日_11時25分_系統1062,表町BC経由 岡山駅,1062
1282,平日,平日_11時27分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
1111,平日,平日_11時35分_系統1111,四御神 (県庁前 経由),1111
5142,平日,平日_11時35分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
2021,平日,平日_11時35分_系統2021,ネオ東6 (中・下市 経由),2021
1112,平日,平日_11時40分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
5141,平日,平日_11時45分_系統5141,東岡山 (岡山駅 経由),5141
8001,平日,平日_11時45分_系統8001,岡山後楽園 (県立美術館 経由),8001
1632,平日,平日_11時50分_系統1632,岡山駅前経由表町BC (下市・西 経由),1632
1621,平日,平日_11時55分_系統1621,ネオ西9 (中・下市 経由),1621
5142,平日,平日_11時55分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
3107,平日,平日_12時00分_系統3107,長岡・駅前,3107
5141,平日,平日_12時05分_系統5141,東岡山 (岡山駅 経由),5141
1111,平日,平日_12時05分_系統1111,四御神 (県庁前 経由),1111
3108,平日,平日_12時08分_系統3108,表町BC経由 岡山駅,3108
1371,平日,平日_12時10分_系統1371,山陽団地 (西→中 経由),1371
1112,平日,平日_12時10分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
8001,平日,平日_12時15分_系統8001,岡山後楽園 (県立美術館 経由),8001
5142,平日,平日_12時15分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1282,平日,平日_12時17分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
2021,平日,平日_12時25分_系統2021,ネオ東6 (中・下市 経由),2021
1062,平日,平日_12時30分_系統1062,表町BC経由 岡山駅,1062
5141,平日,平日_12時30分_系統5141,東岡山 (岡山駅 経由),5141
2001,平日,平日_12時35分_系統2001,瀬戸駅 (ネオ東6 経由),2001
5142,平日,平日_12時40分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1111,平日,平日_12時40分_系統1111,四御神 (県庁前 経由),1111
1112,平日,平日_12時40分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
3108,平日,平日_12時45分_系統3108,表町BC経由 岡山駅,3108
1611,平日,平日_12時45分_系統1611,ネオ西9 (新道河本 経由),1611
8001,平日,平日_12時45分_系統8001,岡山後楽園 (県立美術館 経由),8001
1072,平日,平日_12時45分_系統1072,瀬戸駅 (岡山駅 経由),1072
1061,平日,平日_12時55分_系統1061,瀬戸駅,1061
1612,平日,平日_12時55分_系統1612,岡山駅前経由表町BC (新道河本 経由),1612
5141,平日,平日_12時55分_系統5141,東岡山 (岡山駅 経由),5141
1631,平日,平日_13時00分_系統1631,ネオ西9 (西・下市 経由),1631
1282,平日,平日_13時03分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
5142,平日,平日_13時05分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1111,平日,平日_13時05分_系統1111,四御神 (県庁前 経由),1111
1112,平日,平日_13時10分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
8001,平日,平日_13時15分_系統8001,岡山後楽園 (県立美術館 経由),8001
5141,平日,平日_13時15分_系統5141,東岡山 (岡山駅 経由),5141
2021,平日,平日_13時20分_系統2021,ネオ東6 (中・下市 経由),2021
3101,平日,平日_13時20分_系統3101,片上,3101
1632,平日,平日_13時26分_系統1632,岡山駅前経由表町BC (下市・西 経由),1632
5142,平日,平日_13時34分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
5141,平日,平日_13時35分_系統5141,東岡山 (岡山駅 経由),5141
1111,平日,平日_13時35分_系統1111,四御神 (県庁前 経由),1111
1621,平日,平日_13時40分_系統1621,ネオ西9 (中・下市 経由),1621
1112,平日,平日_13時40分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
8001,平日,平日_13時45分_系統8001,岡山後楽園 (県立美術館 経由),8001
2001,平日,平日_13時50分_系統2001,瀬戸駅 (ネオ東6 経由),2001
5141,平日,平日_13時55分_系統5141,東岡山 (岡山駅 経由),5141
1282,平日,平日_13時58分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
2021,平日,平日_14時00分_系統2021,ネオ東6 (中・下市 経由),2021
1111,平日,平日_14時00分_系統1111,四御神 (県庁前 経由),1111
5142,平日,平日_14時05分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1112,平日,平日_14時10分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
1062,平日,平日_14時10分_系統1062,表町BC経由 岡山駅,1062
8001,平日,平日_14時15分_系統8001,岡山後楽園 (県立美術館 経由),8001
5141,平日,平日_14時15分_系統5141,東岡山 (岡山駅 経由),5141
1181,平日,平日_14時20分_系統1181,林野駅 (新道河本 経由),1181
1632,平日,平日_14時20分_系統1632,岡山駅前経由表町BC (下市・西 経由),1632
1061,平日,平日_14時20分_系統1061,瀬戸駅,1061
1642,平日,平日_14時25分_系統1642,瀬戸駅 (岡山駅 経由),1642
5142,平日,平日_14時25分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1111,平日,平日_14時30分_系統1111,四御神 (県庁前 経由),1111
1631,平日,平日_14時40分_系統1631,ネオ西9 (西・下市 経由),1631
5141,平日,平日_14時40分_系統5141,東岡山 (岡山駅 経由),5141
1112,平日,平日_14時45分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
5142,平日,平日_14時45分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
8001,平日,平日_14時45分_系統8001,岡山後楽園 (県立美術館 経由),8001
1282,平日,平日_14時48分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
1111,平日,平日_15時00分_系統1111,四御神 (県庁前 経由),1111
2021,平日,平日_15時00分_系統2021,ネオ東6 (中・下市 経由),2021
1622,平日,平日_15時05分_系統1622,岡山駅前経由表町BC (下市・中 経由),1622
1112,平日,平日_15時05分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
5142,平日,平日_15時09分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
3101,平日,平日_15時10分_系統3101,片上,3101
3102,平日,平日_15時11分_系統3102,表町BC経由 岡山駅,3102
5141,平日,平日_15時15分_系統5141,東岡山 (岡山駅 経由),5141
8001,平日,平日_15時15分_系統8001,岡山後楽園 (県立美術館 経由),8001
1632,平日,平日_15時21分_系統1632,岡山駅前経由表町BC (下市・西 経由),1632
1072,平日,平日_15時22分_系統1072,瀬戸駅 (岡山駅 経由),1072
2011,平日,平日_15時22分_系統2011,ネオ東6 (新道河本 経由),2011
1112,平日,平日_15時25分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
1082,平日,平日_15時30分_系統1082,表町BC経由 岡山駅,1082
1631,平日,平日_15時30分_系統1631,ネオ西9 (西・下市 経由),1631
5142,平日,平日_15時33分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1111,平日,平日_15時35分_系統1111,四御神 (県庁前 経由),1111
1641,平日,平日_15時37分_系統1641,瀬戸駅 (ネオ西9 経由),1641
1282,平日,平日_15時43分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
5141,平日,平日_15時45分_系統5141,東岡山 (岡山駅 経由),5141
2021,平日,平日_15時45分_系統2021,ネオ東6 (中・下市 経由),2021
8001,平日,平日_15時45分_系統8001,岡山後楽園 (県立美術館 経由),8001
5142,平日,平日_15時53分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1112,平日,平日_15時55分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
1061,平日,平日_16時00分_系統1061,瀬戸駅,1061
2021,平日,平日_16時00分_系統2021,ネオ東6 (中・下市 経由),2021
1632,平日,平日_16時05分_系統1632,岡山駅前経由表町BC (下市・西 経由),1632
1111,平日,平日_16時05分_系統1111,四御神 (県庁前 経由),1111
1062,平日,平日_16時06分_系統1062,表町BC経由 岡山駅,1062
8001,平日,平日_16時15分_系統8001,岡山後楽園 (県立美術館 経由),8001
3107,平日,平日_16時17分_系統3107,長岡・駅前,3107
1072,平日,平日_16時17分_系統1072,瀬戸駅 (岡山駅 経由),1072
5141,平日,平日_16時20分_系統5141,東岡山 (岡山駅 経由),5141
1181,平日,平日_16時20分_系統1181,林野駅 (新道河本 経由),1181
5142,平日,平日_16時21分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1112,平日,平日_16時25分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
1631,平日,平日_16時30分_系統1631,ネオ西9 (西・下市 経由),1631
1111,平日,平日_16時30分_系統1111,四御神 (県庁前 経由),1111
1282,平日,平日_16時35分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
2001,平日,平日_16時37分_系統2001,瀬戸駅 (ネオ東6 経由),2001
1621,平日,平日_16時45分_系統1621,ネオ西9 (中・下市 経由),1621
8001,平日,平日_16時45分_系統8001,岡山後楽園 (県立美術館 経由),8001
5141,平日,平日_16時50分_系統5141,東岡山 (岡山駅 経由),5141
1111,平日,平日_16時50分_系統1111,四御神 (県庁前 経由),1111
5142,平日,平日_16時50分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1612,平日,平日_16時55分_系統1612,岡山駅前経由表町BC (新道河本 経由),1612
3110,平日,平日_16時57分_系統3110,表町BC,3110
1112,平日,平日_17時00分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
3102,平日,平日_17時05分_系統3102,表町BC経由 岡山駅,3102
1282,平日,平日_17時05分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
1371,平日,平日_17時05分_系統1371,山陽団地 (西→中 経由),1371
1061,平日,平日_17時05分_系統1061,瀬戸駅,1061
1062,平日,平日_17時12分_系統1062,表町BC経由 岡山駅,1062
2021,平日,平日_17時15分_系統2021,ネオ東6 (中・下市 経由),2021
5142,平日,平日_17時15分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
8001,平日,平日_17時15分_系統8001,岡山後楽園 (県立美術館 経由),8001
5141,平日,平日_17時20分_系統5141,東岡山 (岡山駅 経由),5141
3101,平日,平日_17時25分_系統3101,片上,3101
1282,平日,平日_17時26分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
1111,平日,平日_17時30分_系統1111,四御神 (県庁前 経由),1111
2051,平日,平日_17時30分_系統2051,周匝 (新道河本 経由),2051
1112,平日,平日_17時35分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
1621,平日,平日_17時40分_系統1621,ネオ西9 (中・下市 経由),1621
5141,平日,平日_17時45分_系統5141,東岡山 (岡山駅 経由),5141
1114,平日,平日_17時48分_系統1114,表町BC (清水 経由),1114
1631,平日,平日_17時50分_系統1631,ネオ西9 (西・下市 経由),1631
3107,平日,平日_17時50分_系統3107,長岡・駅前,3107
1612,平日,平日_18時00分_系統1612,岡山駅前経由表町BC (新道河本 経由),1612
5142,平日,平日_18時00分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1061,平日,平日_18時00分_系統1061,瀬戸駅,1061
1111,平日,平日_18時00分_系統1111,四御神 (県庁前 経由),1111
2021,平日,平日_18時05分_系統2021,ネオ東6 (中・下市 経由),2021
5141,平日,平日_18時10分_系統5141,東岡山 (岡山駅 経由),5141
1631,平日,平日_18時15分_系統1631,ネオ西9 (西・下市 経由),1631
3107,平日,平日_18時23分_系統3107,長岡・駅前,3107
1401,平日,平日_18時25分_系統1401,瀬戸駅,1401
1112,平日,平日_18時25分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
1111,平日,平日_18時30分_系統1111,四御神 (県庁前 経由),1111
1062,平日,平日_18時32分_系統1062,表町BC経由 岡山駅,1062
2011,平日,平日_18時33分_系統2011,ネオ東6 (新道河本 経由),2011
3108,平日,平日_18時34分_系統3108,表町BC経由 岡山駅,3108
2001,平日,平日_18時35分_系統2001,瀬戸駅 (ネオ東6 経由),2001
1282,平日,平日_18時35分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
2064,平日,平日_18時40分_系統2064,仁堀,2064
5141,平日,平日_18時45分_系統5141,東岡山 (岡山駅 経由),5141
1621,平日,平日_18時45分_系統1621,ネオ西9 (中・下市 経由),1621
5692,平日,平日_18時53分_系統5692,表町BC (高島団地・岡山駅前 経由),5692
2032,平日,平日_18時54分_系統2032,ネオ東6,2032
3104,平日,平日_18時55分_系統3104,八日市,3104
1041,平日,平日_18時55分_系統1041,八日市,1041
1112,平日,平日_18時55分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
1371,平日,平日_19時05分_系統1371,山陽団地 (西→中 経由),1371
1612,平日,平日_19時10分_系統1612,岡山駅前経由表町BC (新道河本 経由),1612
5522,平日,平日_19時11分_系統5522,表町BC (高島団地・岡山駅前 経由),5522
5141,平日,平日_19時15分_系統5141,東岡山 (岡山駅 経由),5141
1111,平日,平日_19時15分_系統1111,四御神 (県庁前 経由),1111
1642,平日,平日_19時20分_系統1642,瀬戸駅 (岡山駅 経由),1642
3108,平日,平日_19時20分_系統3108,表町BC経由 岡山駅,3108
1062,平日,平日_19時25分_系統1062,表町BC経由 岡山駅,1062
1621,平日,平日_19時25分_系統1621,ネオ西9 (中・下市 経由),1621
1112,平日,平日_19時29分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
5141,平日,平日_19時45分_系統5141,東岡山 (岡山駅 経由),5141
2021,平日,平日_19時50分_系統2021,ネオ東6 (中・下市 経由),2021
1272,平日,平日_19時50分_系統1272,岡山駅前経由表町BC (新道河本 経由),1272
1041,平日,平日_19時55分_系統1041,八日市,1041
1631,平日,平日_20時05分_系統1631,ネオ西9 (西・下市 経由),1631
1111,平日,平日_20時10分_系統1111,四御神 (県庁前 経由),1111
3107,平日,平日_20時15分_系統3107,長岡・駅前,3107
5522,平日,平日_20時15分_系統5522,表町BC (高島団地・岡山駅前 経由),5522
5141,平日,平日_20時20分_系統5141,東岡山 (岡山駅 経由),5141
2001,平日,平日_20時25分_系統2001,瀬戸駅 (ネオ東6 経由),2001
2021,平日,平日_20時30分_系統2021,ネオ東6 (中・下市 経由),2021
5132,平日,平日_20時40分_系統5132,表町BC (高島団地・弓之町 経由),5132
3108,平日,平日_20時49分_系統3108,表町BC経由 岡山駅,3108
5141,平日,平日_20時50分_系統5141,東岡山 (岡山駅 経由),5141
3107,平日,平日_20時50分_系統3107,長岡・駅前,3107
1112,平日,平日_20時53分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
1621,平日,平日_20時55分_系統1621,ネオ西9 (中・下市 経由),1621
5132,平日,平日_21時05分_系統5132,表町BC (高島団地・弓之町 経由),5132
1042,平日,平日_21時10分_系統1042,表町BC経由 岡山駅,1042
1631,平日,平日_21時20分_系統1631,ネオ西9 (西・下市 経由),1631
1111,平日,平日_21時25分_系統1111,四御神 (県庁前 経由),1111
3110,平日,平日_21時25分_系統3110,表町BC,3110
1112,平日,平日_21時26分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
1641,平日,平日_21時30分_系統1641,瀬戸駅 (ネオ西9 経由),1641
5132,平日,平日_21時35分_系統5132,表町BC (高島団地・弓之町 経由),5132
2021,平日,平日_21時40分_系統2021,ネオ東6 (中・下市 経由),2021
5141,平日,平日_21時50分_系統5141,東岡山 (岡山駅 経由),5141
1111,平日,平日_22時00分_系統1111,四御神 (県庁前 経由),1111
1081,平日,平日_22時05分_系統1081,長岡団地,1081
1621,平日,平日_22時05分_系統1621,ネオ西9 (中・下市 経由),1621
2081,平日,平日_23時30分_系統2081,深夜 西9 (中・下市 経由),2081
1342,土日祝,土日祝_06時09分_系統1342,表町BC (正崎・中 経由),1342
1042,土日祝,土日祝_06時30分_系統1042,表町BC経由 岡山駅,1042
1182,土日祝,土日祝_06時31分_系統1182,表町BC (新道河本 経由),1182
1612,土日祝,土日祝_06時34分_系統1612,岡山駅前経由表町BC (新道河本 経由),1612
1112,土日祝,土日祝_06時35分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
5142,土日祝,土日祝_06時37分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1282,土日祝,土日祝_06時52分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
1042,土日祝,土日祝_06時57分_系統1042,表町BC経由 岡山駅,1042
1072,土日祝,土日祝_06時58分_系統1072,瀬戸駅 (岡山駅 経由),1072
3101,土日祝,土日祝_07時00分_系統3101,片上,3101
1112,土日祝,土日祝_07時05分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
1632,土日祝,土日祝_07時07分_系統1632,岡山駅前経由表町BC (下市・西 経由),1632
5522,土日祝,土日祝_07時12分_系統5522,表町BC (高島団地・岡山駅前 経由),5522
3107,土日祝,土日祝_07時15分_系統3107,長岡・駅前,3107
5131,土日祝,土日祝_07時15分_系統5131,東岡山 (弓之町 経由),5131
2011,土日祝,土日祝_07時15分_系統2011,ネオ東6 (新道河本 経由),2011
1642,土日祝,土日祝_07時18分_系統1642,瀬戸駅 (岡山駅 経由),1642
1381,土日祝,土日祝_07時19分_系統1381,林野駅 (湯郷温泉 経由),1381
1111,土日祝,土日祝_07時22分_系統1111,四御神 (県庁前 経由),1111
1282,土日祝,土日祝_07時33分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
1112,土日祝,土日祝_07時35分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
1632,土日祝,土日祝_07時44分_系統1632,岡山駅前経由表町BC (下市・西 経由),1632
1401,土日祝,土日祝_07時44分_系統1401,瀬戸駅,1401
5142,土日祝,土日祝_07時45分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
5141,土日祝,土日祝_07時50分_系統5141,東岡山 (岡山駅 経由),5141
1061,土日祝,土日祝_07時55分_系統1061,瀬戸駅,1061
1371,土日祝,土日祝_07時58分_系統1371,山陽団地 (西→中 経由),1371
1072,土日祝,土日祝_08時00分_系統1072,瀬戸駅 (岡山駅 経由),1072
1282,土日祝,土日祝_08時00分_系統1282,岡山駅前経由表町BC (下市・中 経由),1282
3108,土日祝,土日祝_08時00分_系統3108,表町BC経由 岡山駅,3108
1112,土日祝,土日祝_08時05分_系統1112,表町BC経由 岡山駅 (清水 経由),1112
5142,土日祝,土日祝_08時09分_系統5142,表町BC (高島団地・岡山駅前 経由),5142
1111,土日祝,土日祝_08時10分_系統1111,四御神 (県庁前 経由),1111
5141,土日祝,土日祝_08時18分_系統5141,東岡山 (岡山駅 経由),5141
2032,土日祝,土日祝_08時18分_系統2032,ネオ東6,2032
1622,土日祝,土日祝_08時21分_系統1622,岡山駅前経由表町BC (下市・中 経由),1622
1621,土日祝,土日祝_08時25分_系統1621,ネオ西9 (中・下市 経由),1621
3102,土日祝,土日祝_08時25分_系統3102,表町BC経由 岡山駅,3102
